cleaned_stemmed,sentiment_prediction
gara lu nih bang aiman rocky gerung udah ga nongol gw bilang gara lu lu ga adil waktu sama rocky yg d serang personal waktu faisal asegaf personal lu brani keras lah gilir rocky yg serang lu ga keras sama si sifestre,negative
terimakasih jadi tau mana orang hukum yg tau hukum mana orang bodoh,negative
semua orang telaah pikir bung rocky mayoritas didik masyarakat rendah tambah ekonomi yg sulit buat orang ogah berfikir filsafat difikir gimana lembar kertas warna cantik yg semua orang suka dn gila otak jd tak nila akal,negative
tolong bang iman kalo ngundang nara sumber jangan asal undang jangan ngundang asal bentuk manusia pakai rapi body kekar otak dungu kan akhir repot pihak studio,negative
roky gerung cerdas pancing mempan andai sebut nama kena delik,negative
yg gelar acara layak sebut pintar apa bodoh sdh tau gerung tdk mutu tp undang undang bikin muak,negative
silvestre gak debat bisa ngatain org gak isi tanya sama rocky gerung diem aja tanya profesor nya siapa bilang nya gak perlu tau lucu,negative
kata ahli hukum diskusi pakai emosi kalo bela jangan babi buta,negative
kasi sekali orang telanjang rocky tonton seluruh indonesia kalah jauh argumen,positive
moderator netral jangan ikut cari celah lemah nara sumber tugas fasilitas lancar nya dialog,negative
ikan emosi jarang yg kuat ama pancing bung rocky gerung boss,positive
he rocky km mmpertanggungjawabkan atas mulut yg umbar rkcencian dn caci maki lama dunia hei rocky,negative
baca pas sd dipamerin sekarang pas tanya gabisa ngomong,negative
bpk rocky baik,positive
pancing ikan,positive
rocky memang hebat,positive
rg selalu pakai bahasa istilah susah docerna,negative
orang yg struk gara org,negative
orang hukum kq bodoh lewat malu,negative
silfester nol,negative
apa isi ucap rg ni cuma mnunjuk diri lebih tahu sejarah jauh drpd topik bincang,negative
hei silvester bung roky sangat guna rakyat indonesia,positive
bela tdk nalar scr objektif orang ilmu filsafat guru semua ilmu kok lawan kalo mau jd orang yg smart jd orang ilmuwan filsafat dhl jd kalo mau adu argumen atas panggung in syaa allah tiada tanding goods rocky,positive
bangga sebut m aw brawer gusdur leo tolstoy minta terang lebih lanjut judul buku baca malah ngang ngong ulti rocky karna lebih tau tokoh filsafat sebut manusia silver akwkw,negative
sifer yg bawa freeman ntt kampung betawi,positive
emosi kalah yah,negative
sehat selalu bung rocky papua tengah,negative
turun arab cucu nabi pintar lah,negative
kasihan pilih mulyono tdk tanya tdk tau jawab ganti ketua umum solidaritas merah putih yg dong,negative
anak silfester nonton ga nih wkwk malu nya pake banget wkwkwkwkwk,negative
silfester gk becus,positive
ilmu akademik aplikasi dgn baik dosen elu siapa hha,positive
suka kagum orang orang berani bicara depan forum lepas drama semua jelas milik mampu komunikasi jernih faktor tahu lah beda kontrol emosi kagum bung rocky gerung jujur mungkin posisi bung rocky kuat tahan tangan gak mudah loh milik status bujang berat walaupun pilih sangat asa singgung minta ktp iya lah memang sulit jelas,positive
ndadak bloon timbul emosi dungu dunguu nelen ludah teruus,negative
rg cakap mu coba masuk akal,negative
rokky pokrol ngak yg gugu tiru ngak usah dengar,negative
mantap pak roger,positive
rocky banyak tanya siapa siapa hadeh gila nie orang,negative
sgala macam d ajak klo sama roki,negative
lebih parah ngabalin,negative
ngaku jilat,negative
kocak kali bapak,negative
org hukum org hukum,negative
yaa mau terang sekarang,negative
tuduh kok membeladiri diri betul lihat bodoh,negative
roki gerung amat sebenernya orang pintar ngomong orang buodoh roki gerung,negative
jas biru kuat malu,negative
hidup rg,negative
simak,positive
rg emang lambang akal sehat salam akal sehat,positive
alhamdulillah debat pak rocky beri ilmu dasar baru sbg acu brfikir istilah yg buat sy ajar baru terimakasih guru besar rocky gerung,positive
jilat tetep jilat,positive
rg kuliah gratis jempol,positive
awal pak rocky gerung buat baik ingat pak silver satu ikan pancing,positive
orang pintar kalo ngomong santai jadi balik kalo orang ngomongnya ngga santai bararti orang,negative
orang hukum kok marah ampun silvester,negative
ohh tuhan maju bung rg,positive
wkwkwkw,positive
baju bru om kosong semua d,negative
kalau mau sukses jadi jilat tnp sebut nama ehh malah rasa ikan pancing,negative
mantab gua dri jatim ratus persen dukung penuh bung roky,positive
ayuh dong by ufc,positive
rakyat aja skrng susah,negative
anak istri nya ap gk malu tuh,negative
masalah nya boss masiarakat tipu lama,negative
biasa emosi cepat bila nutupi tdk liat mungkin,negative
enggak guna emang roki indonesia,negative
silferster debat pakai otot bukan pakai otak,negative
mantap roky gerung,positive
nyala bung roky,negative
silvester terlalu membelaulyono apa tdk tau tindak yg laku akhir apa tdk tahu bagaimn jln pikiex orang,negative
kliatan jelas nonton kebodahan nya bung silfester sikatt teruss rockk,negative
bung rocki klo bicara jngn dg bhs intelek orang kecil gk paham dg bicara to the poin aja,negative
bung rocky mmg org hebat cerdas jujur tdk gila jabat smg sll beri sehat bung rocky,positive
lg masuk kandang jebak si master akal sehat,positive
prof rocky salah satu pahlawan peran cerdas generasi bangsa,positive
salam akal sehat,positive
prof rocky gerung lawan dungu cara pikir,negative
muter aja si gerung minta bukti nyata ngomong ngalor ngedul gak jelas,negative
roti gulung dasar otak udang,negative
jilat marah,negative
bukti yg minta bkn koar teori banyak praktek kosong ptrett,negative
terlalu banyak buat bodoh rocky gerung,negative
cuma baca kulit buku aja ngakunya baca buku kalo banya paling intisari rangkum tanya balik isi nol besar makanya hati hati kalo buat nyata yg sifat primer ga ubah,negative
ajak beragumen sederhana bingung kwkwkwkw makanya bang rg gamau lanjutin debat,positive
lebih suka bung silveste mantap bung silvester,positive
hahahahaha strike ikan silfester,positive
silfester klo tau y jawab kshn ni silfestr klah tlak ma rg,negative
udah kayak binatang tuhh silvester stallon,negative
bagus bang rocky,positive
memang sulit tuk paham benar indo,negative
ngeri sekali kuasa keliling orang model gt,negative
roky kagak gunanyanya,negative
mantapp,positive
langsung nyentil pribadi asli deg rocky gerung omong bujang lapuk emosi tuh orang bilang bujang lapuk ngga kualitas argumen,negative
aiman ketawa ketiwi aj tau ratingnya naik kyk gin wkwkwk,negative
gag sampe ilmu nya p silfer,negative
semangat bung roki,positive
salah langkah terus pak silfester,negative
ember roky gerung,negative
semua tau rocky gerung sangat guna indonesia,positive
rg sangat cerdas emosional,negative
liat yg kosong yg isi,negative
ketua merah putih laku merah hitam,negative
bg roky emang mantap,positive
emosi tutup dungu diri sendiri,negative
pondasi cawe cawe aja erti cakep yg sebut yg ga jawab,negative
gw ga ngerti siapa siapa apa yg bicara bung roki gw kalo ajak bicara emosi gw ga ngerti tanya terus u kenal ga u tau ga dalem hati mana gw tau wkwkwk level ilmu gw memang rendah soal ilmu hukum filsafat jenis nya bilang awam tanya nya yg baju biru level ilmu nya sama kaya gw orang awam nya kalo iya wajar emosi wajar kok sana panggung orang yg level ilmu nya atas bung roki,negative
please jangan undang silfester tv malu maluin indonesia kalo orang luar nonton semua stasiun tv,negative
orang bodoh yg gk tahu apa tp sungguh keren hebat kata bung roky,negative
strait to the point la jgn cakap belit belit banggang,positive
jual ngebacot cobak berani gak klu jd jabat berantas korupsi,negative
sing glok sing klambi biru kui,negative
gue yg paling lucu udah pancing panas panas lgi udah emosi malah dideketi pintar lu buat org masuk lubang kubur sendiri,negative
kamu ngaku,negative
dihanta rigaruik,positive
terang sayahukum hukum debangakanya,negative
tuh kan lihat siapa dangkal fiiranya marah sumber ngakunya sok ahli,negative
bung rocky benar abad semua imam katolik meni perang salib utk kurang cawe politik imam katolik ucap kaul selibat bung rg sejak awal benar tengah uji silvester berapa tingkat tahu bahas masalah pokok memang filsafat selalu mulai akar utk kemudian capai simpul kadang kala level awal sbg terang konteks banyak yg salah paham slvester bodoh picu potong,negative
senggol terus,negative
silvester gameplay early game serang pribadi mid game full taunting argumen dasar late game umpat surend,positive
wkwkwwkwkk silverter stalom justru lihat super bodoh aahaha indonesia yg nonton nilai aaha,negative
emng gak guna roky gerung,negative
pinter bung roky mantap tanya paling simple mau jawab karna takut,positive
weh lu ngapain bentak rocky ini orang suara jokowi gak usah duduk kau kursi kalau keras ayo selesai cara cundang rasa berat badan sama,negative
bodoh jilat hati hati isi kayak gin semua perintah isi uang,negative
orang pojok silfester wajar dya emosi roki muter muter tampa jelas yg oke lah bapak jas biru salah kata bujang lapuk emang roki moter moter gak jelas,positive
bung roky sangat guna,negative
mantap bg roki,positive
koplak,negative
roky gerung mantab,positive
songong lawan songong aura intelektualitas nya sama sekali dukung rocky gerung lah jelas lebih masuk akal alur bicara bahkan orang kampung bau lisung sekalipun,positive
sirfester kasih alat terjemah biar pinter dikit lah bener lawan bung rocky paling lucu koyak koyak sampe emosi keluar,negative
rocky is the best,positive
nyala bung rg,negative
bener kata bapak roky gerun terlalu banyak teori banyak bahasa padahal tingal sebut jelas terlalu repot rakyat karna cerna omong apa telan ribet banyank omong cundang,negative
intonasi tinggi coba buat alibi tegas bukan jilat,negative
kasar bapak tdk etika dlm debat bukan level bung rocky kmu bung sok pintar jng d ladenin orang bgni pak rocky,negative
klw debat boss jng sindir mslh pribadi privasi,positive
silvester martina kerja nya cuma peras pemkab ende minta bproyek,negative
aku salut lihat bg rg santai selo gak emosi biasany orng emosia ito lh banyak salahny alias tak kontrol bodoh pulak lg,negative
harus rg gak nanya tau nya silvester jadi potong terus bodoh soal percuma tanya,negative
kalah debat hahahahahahaha silfes o on,negative
rocky lari substansi masalah yg tuduh pak jokowi cawe cawe tdk jawab beri kuliah makanya kau roti gulung jgn asal malontok mulut kau,negative
bang rocky the best jas biru harga orang bagai mana mau harga kalau ngak harga orang bicara bung rocky potong terus bung rocky skip,positive
wahh parah sih ni orang nyerang pribadi turut sih ngawur yha aiman kurang tegas euy bahas politik kok malah nyerang pribadi,negative
anak tk lawan kelas viv,positive
liat dunggunya,negative
bodoh bukan bung roki,negative
musuh debat bung roki gak nyambung,negative
debat ko bawa pribadi,negative
z terlalu muter muter,negative
manusia lapukk gakada cewek yg mau,negative
jangkrik campur alwaystrike,negative
kalah marah,negative
mahasiswa cerdas paham poin poin jangan bodoh bodoh bahkan bahaya,negative
rokky sok,negative
emang ga malu sama keluarg emosi segitu nya,negative
mantap bung rocky gerung,positive
silvester orang pilsapah lihat apa yg diadalam pikir hati lawan debat,negative
orang orang kaya rocky gerung justru ajar pikir bukan terus budaya caci maki baku hantam,negative
orang kalau ngak tau biasa puja gareng ngak mutu omongangnya ngawur,negative
kata bujang lapuk lalu rocky hina kata bodoh marah silfester,negative
lanjut mma aja solusi kliatan kalo lanjut mma roki jadi bebek bur,negative
bung rocky kau tdk mau lawan orang istana punya amplop rurun istana kalau adan nda amplok,negative
malu gua bjr forum ko marah,negative
hahahahah rocky lawan,negative
njirr,negative
ijazah sylver abal abal,positive
adu gagas bukan adu otot kali undang narasumber yg gk gampang emosi,negative
pancing padahal gk bilang jilat ee longor,negative
silvester silvester aku aja yg lulus smp ngerti maksud rocky gerung lu jebak dngan bodoh lu sendiri asih jawab yg kelit nilai iq mu nyata iq mu msh jongkok semangat bung rocky,negative
main gap gap aja ni sekarang,negative
tdk maling teriak maling tdk jilat teriak jilat bung silvester sangkal sama hal aku,negative
silverster makan umpan pancing rockey singgung mental terus koyak,negative
singgung langsung emosi,negative
otak kalau uda dekat dubur jadi seprti si om plester,negative
orang muka pnjilat tau orang hukum tp tdk bs bukti dasar bod,negative
rg wawas nya emg benar benar luas walaupun gak lulus kuliah tp kuasa wawas akademik,positive
no rocky no party,neutral
silvester emang ga terlalu kompeten buat debat,negative
dunggu debat baik lalu serang pribadi,positive
parsimoni kaga paham doi tau parsel,positive
orang dungu emang susah kalo ajak debat bung rocky bravo rg sehat terus,negative
silvester bukan jilat suka puji muji kuasa menang,neutral
silvester sangat mirip ruhut poltak raja minyak sitompul debat bung rocky endingnya ketampol lalu emosi nyerang pribadi,negative
bang rg hebat banget,positive
wah juta viuw,positive
hormat master rocky ilmu terimakasih master rocky,positive
apa hebat gerong maju ketentraman bangsa,negative
sadar tunjuk bodoh silfester matutina,negative
bangga punya bung rocky gerung,negative
roki debat rakyat jadi roki kau stop debat kau bikin masyarakat jadi bodo karna masyarakat erti,negative
orang pake jaz biru emosi soal ilmu tahu nol aneh turut,negative
gara kata jilat panas sendiri klo ga ngerasa ngejilat biasa aja pakk,negative
da banyak sering debat roky sekarang pihak jokowi yg mampu imbang jenius roky mungkin gerombolanya terlalu sibuk ajar jilat,negative
mantap pak roky,positive
kali liat debat ni otak jenius rocky gerung luar biasa,negative
rocky gerung is the best,positive
guna fitnah yg guna gerung sama sampah negara,negative
rg terlalu banyak filsafat hidup pribadi terlalu rumit,negative
you are nothing silfester,neutral
mahasiswa aja ketawa liat laku silfester hahaha,positive
debat orang cerdas lawan orang dungu nggk nyambung,negative
demokrasi perlu dewasa indonesia siap demokrasi kalo tokoh politikus dewasa msh tk semua,positive
rocky bukan benci jokowinya benci sistem laku yg kerja negara,neutral
smangat bang roky,positive
wajar indonesia maju koruptor hukum m,negative
satu jilat pancing emosi mantab bang rocky,positive
bung roky mantap contoh orang yg libat dalamkepenting sia beda lawa yg selalu bela dapat jabat,positive
terima kasih inews jd track record lama hidup,positive
rg lawan,negative
sih banget kayak selenggara acara sengaja naro kecebong paus satu kolam,negative
sehat terus bung rocky gerung rakyat indonesia sama,negative
kedunguuan poin satu nya orang aku punya otak kontrol emosi nya,negative
menit si kameramen tak kuasa tahan tawa ngeliat kocak si silfester totally outplayed by rocky gerung,negative
tambah ilmu bung roky hebat si ikan dungu pancing bkin tmbah semngat nonton rg hebat,positive
rasain luh simoni,positive
pintar x otak rocky gerungg susah debat om rocky krna wawsannya luas,negative
pintar rk aq salut klo jelek timnas sekarang aq gak suka beda olahraga sama politik olahraga perlu stamina politik kepinteran individu sialakan rg politik gak usah masuk je ranah sepakbola,negative
maju trs bung roki,positive
silfester g jawab tanya bung roki kata kasar paksa dy ucap kan tutup,negative
muka cerah se cerah apa sih,negative
gilak gilak,negative
roky yess,positive
bung ricky belit belit tuju jawab masuk sesuai prinsip metodelogi oke bung silvester suka yg langsung to the point nan pokok utama,positive
being and nothingness bukan tulis heidegger tulis jean paul sartre tulis heidegger being and time,neutral
bung roki debat sama gak punya otak,negative
geli geli geli otak lawan otot,negative
inti kalau bicara rocky pakai kata intelek kalau pasti ruwet karna rocky rasa paling pintar lupa adab asal,positive
orang bodoh senang sama bang roki g moga bangroki sehat selalu,negative
memang udah gila si rokky gerung,negative
mau meni bukan urus kamu,neutral
sudah kasi mau nang spertinya krn sdh malu,negative
bung roky emang akdemisi unggul nomor indonesia cocok cerdas rakyat pimpin bangsa,positive
ngedebrus,positive
emang zfer memang lenjilat,negative
nah mending gitu pak rocky gerung mending ngurus politik sok an paham ngurus bola,negative
hayo adek mana bo h,negative
satu ikan pancing,positive
maju terus bang rocki,positive
hukum filsafat tak jalan,negative
bela segitunya wkwkwkwkwk malu,positive
bang roky beri tahu sama orang awam tk,positive
silvester koq bilang roky gerung gak guna padahal sendiri tak guna,negative
masarakat biasa dapat simpul rg tanya bukti ilmiah malah muter masalah teori mahasewa keren gak bukti,negative
aneh kalah debat ko ngamuk,negative
mantap jebak nya,positive
asa dapet kuliah gratis pak rocky,positive
oramg gilang undang q,negative
bung rocky sgt guna nusa bangsa beliu informasi pincang nahkoda awakkapal,negative
bahasa bodoh yg buat silfester marah jd jngn bil silfester salah beliau uncur benar,negative
lah orang begini gak usah undang,negative
yakin jadi fight rg menang sih rg wakil ketua panjat tebing rekreasi cengkraman orang olahraga panjat tebing tuh kenceng banget tau coba aja langsung suruh cengkram bapak bapak jas biru,positive
begitu si muka paling cerah bahagia jadi gelap gulita punya adab etika malu depan umum keluar kata kasar pantass live saksi seluruh rakyat indonesia gimana pak kalah sama bujang lapuk yaa yaahh sehat selalu bung rocky,negative
bukittinggi jokowi lewat orang sepi bos,negative
tinggal bilang gak tahu kalau gak tahu repot sih,negative
banned umur hidup tv si silpester,negative
pakar hukum nya jebak sama bg roky arti pakar hukum kata udh baca buku tanya isi buku sama bg roky gak paham,negative
rocky nothing wkwkwk bakteri negara,neutral
rocky gerung bukanb lawan nya sama sj org pintar lawan org dungu,negative
hebat rocky mantab,positive
silfester,positive
rg mode on dosen sidang mahasiswa yg serang titik lemah intektualitas,negative
bung rocky is the best,positive
rocky lawan imbang nya budiman sudjatmiko,negative
gak bodohin yangbada mna bdoh mnanyang enggak,negative
susah kalau ngomong sama orang bofohbtolok yerangbpribadinorang,negative
sylfester muka muka ideot,positive
rocky gerung banyak action kosong cuma cari gara buang masa siapa layan orang suka cari tengkar kali bincang tinggal rana orang the ubah cari aib org semata nak tutup aib,negative
bung rg selalu lihat bodoh narasumber teruss wkwkkw saran gua mah klo gapunya argumen jgn dateng tv deh wkwk,negative
mantap bang rroky,positive
buta pikir akademis memang ad cewe jokowi ngak perlu bukti mau kata jokowi,negative
debat gak manfaat buat nkri,negative
hidup rocky gerung,negative
memang ajar sama roki jilat,negative
silvester tau asal nyeplos aja biar liat intelek cecer gelagap autopanik bikin malu,negative
yg jas biru sangat mantul bicara dg ilmu knyataan rg bicara dg ilmu teori dgn ilmu yg tulis buku,positive
wah ni orang kalo ngga emosi ngga viral kenal orang,negative
nonton aja udah mata kuliah filsafat terimakasih pak rocky gerung bapak sangat guna anak anak bangsa indonesia,positive
sikatt meledaakk i bung rokky gerungg kereenn,negative
kerreen bung roky,negative
silfes terpojookk gak jawab lalu serang pribadi,positive
kata bang rg bawa ikut kuliah sangat cerdas anak bangsa,positive
apabila emosi marah jadi situ jadi orang mudah kecundang debate bukti fakta betul jadi ribut dua pihak asa selesa ilmu lebih pihak lawan situ lemah jadi jadi jangan kak sendiri hebat patut rendah hati baik pancing soal buat sendiri,negative
definisi no rocky no party keren bung rg mampu kontrol emosi pinter ulur waktu bicara lawan bicara tampak sisi diri yg sungguh,negative
bung rocky kerenn,negative
negara indonesia ngapain pake bahasa luar i you kan pakai kamu aku,positive
kok bilang roky jantan roky nikah jelas gak jantan lah,negative
debat kalo orang hukum bahasa jangan makan hukum bagus bung rocky orang ber ilmu,negative
udah saling maaf kok kata aiman podcast,negative
bung roki orang sangat pintar bodoh karna manusia banyak terang bodoh orang ibarat topik malam jawab siang bodoh pelihara begini loh,negative
well dungu,positive
rg pintar debat cuma sayang tak nyambung cuma bikin fitnah aja,negative
keluar aja rocky buat ribut aja aiman,positive
wkwkwkwk,positive
malu ga sihh,negative
mana bukti pak jokowi cawe pilkada jangan asal nuduh org ga usah pakai tiori bukti cundang,negative
tlong rocky jngan sellu tampil kan lyar kaca sombong skali jga aku liat,negative
guru hukum kok ga tau aku gak tau sih wajar kan ga ajar hukum tpi bapak kok ga tau,negative
rg orang beli kata logika kalau kamu orang preman banyak anggota banget balas bullyian rg sedikit olahraga kasih sayang ala preman kannboleh balas bully cara yg ahli,negative
bravo bung rocky gerung you are brillian,positive
semua fashion yg lekat tubuh mulai kepala kaki bagus branded isi otak gak kualitas otak bagus branded nyata wkwkwkwk beda rocky tampil sederhana isi otak glowing sinar kualitas,positive
rocky gerung orang sakit,negative
kalah debat rmosi,negative
manusia jelbo,negative
debat tak guna,negative
maaf bung rg ketuker kalau being and nothingness sartre heidegger being and time,negative
roki memang cerdas,positive
gak kuliah lihat debat nilai kalau roki gerung memang pintar dongeng suka pancing ribut langsung bahas inti memang putar putar niat lawan bicara jadi akan bodoh bahas nya jelas,negative
betulrokibitu dampah masarzkatvitu,negative
ditspui sudh neradabesar kepala roki,negative
emang bahasa yg sederhana sumua katkatmu yg ga visdi erti senagian vesar rzkyart u dibexus,positive
siapa uyg mau kau tsrangka roki kautu sudh angap snph ruh rakyat indo esia,negative
rokye garung orang pintar putar balik fakta tdk bukti apa buat negara,negative
baru kali rocky gerung kena mental,negative
org kyk si felter gk pantas muncul medsos geen manieren,negative
apabila orang bodoh ajak debat dengan sikap baik diam tanggap apabila kamu layan kamu susah sendiri bila kamu teman dengan selalu sakit hati orang bodoh selalu berfikir bijak orang bijak tahu bahawa diri orang bodoh masalah dunia jadi orang bodoh terlalu yakin orang pintar penuh ragu,negative
rocky rocky u kualat syukur pak jokowi laden anda tuhan beri hari aja hari bebas laku apa dosa pasti cari pasti cin cang,positive
jaga bapak baik baik,positive
semangat bg roki grung sehat slalu bg roki grung,positive
liat awal ilmu milik rg cerdas bangsa konyol banget quest rg si jilat gatau sama sekali wkwk,positive
lucu bapak silfes kaya anak tk debat,negative
bung rg memang sangat cerdas bantu masyarakat sehat selalu bung,positive
pikaseurieun ngadengekeun s pak jas biru ngomong na kmn karep lieur teu asup kana otak na ge,negative
hiduup bang rocky,positive
sianu gak debat bisa tengkar,negative
sedonggok,negative
dagel gak mutu,negative
suda d kasih bukti mash gk ngerti jelas bung katain bodoh,negative
gila nih bung rocky pintar banget,negative
he rokibicaranyajangan hina orang yang palinghina,negative
lah koq ngamokk om bo aja,negative
wrga ntb duking rg,negative
silpelter kasi mau debat rg akhir malu sendiri,negative
bukan lawan rocky mah bro,neutral
satu ikan kena pancing lanjut rocky gerung tarik ulur benang kait ikan sebut akhir rocky gerung sukses main ikan sebut sangat hibur sekali orang orang dungu tampil televisi bung rocky gerung,positive
seluruh anak turun keluarga malu jejak digital muka umum karakteristik dalam ruang lebih dalam isi kepala dada kasihan sekali manusia hidup siksa gejolak diri sendiri,negative
kasi rakyat baru banyak sadar sekarang,negative
alloh aku kok kasi sama bung rocky padahal jelas awal bukan cuma hasil bukti tpi cara dapat bukti teori hukum,negative
wawas luas sekali bung rocky,negative
best momen menit gays,positive
kaya gin kok tayangin mending tayangin d tengah hutan aj bang biar monyet nonton,negative
makin jelas jilat jya,negative
dsini masarakat tahu mana yg dungu mana yg pancing hh bung roky dri luar kliatan gila cundang nth apa kata orang yg anti roky tpi iq nya gk perlu tanya lgi,negative
sejak awal mungkin limabelas kali putar hasil salut dg pikir bang rocky buat bang silvester sabar aja banyak ajar baca siapa taux waktu ketemu panggung sama bang rocky,positive
mantap sekali roky gerus cara berfikirnya ilmu,positive
lihat dunggunya,negative
bang roky is the best,positive
mau tertawa takut dosa,negative
udah lah kalian pintar takut hilang jabat duit makanya jadi dungu tobat sama sadar baik ada ken baik ada maju bangsa agama negara daerah bukan merampad jabat kaya kalian,positive
rocky rocky si bujang lapok sok kritik orang koreksi diri rg gk usah bnyk cakap rocky nikah kau dulu baru kau bnyk cakap cundang betul bng sylvester gk usah bnyk cakap si rg bukti nya mana,negative
ahaha pake emosi k o,negative
sini lihat beda kompleks ilmu tahu orang sederhana template bicara orang paling rasa beril beda kualitas bro pacta sund servanda jadi wakil semua jalan demokrasi periode pimpin dinasti mulyono,positive
padahal pak rocky kasih kisi jawab emang nyambung lawan biacaranya sehat pak rocky garda pikir indonesia,negative
siapa roki gerung undang acara bikin ricuh aca orang gak punya wewenang jadi apa kok yg undang,negative
tohok banget kalimat ikan pancing rocky debat ilmu filsuf nya,negative
lulus ruko,positive
salah satu dungu seseorg kontrol emosional,negative
keren bang rocky lawa sayang tdk imbang,positive
mantap bung rocky,positive
roki cerdas tak perlu sebut nama tak perlu tuding cuma beri umpan ikan muncul sendiri bahkan aku minta lemah bangsa sabar hasil pondasi keilmuanya jadi prematur rg coba terang mulai pondasi bak akar pohon pikir biar jelas kemudian naik pohon kuat topang pikir ranting nya silvester sabar menang gesa minta data bukti sisi hukum bukti data rekayasa logic pikir mudah rekayasa arti orang sabar tutup kuping tutup ilmu baru,negative
malaikat laku upah,negative
cerah bahagia bahagia hati,positive
rg,positive
jadi liat banget,negative
rg sangat guna cerdas anak bangsa,positive
udah bng rocky jgn ladenin capex sendiri bng rocky ngejelasin percuma gk nyambung,negative
broo rocky punya banyak murid klo kau mana murid yg percaya kamu,negative
asekk ikan pancing hahha bapak jaz biru lucu poll,negative
hahaha kocak bapak jaz biru,positive
mantap bang rocky wakil rakyat penting golong sebut jilat broo,positive
banyak org bayar situ,positive
rg cerdas top,positive
pancing aku,negative
keren bang rocky gerung,positive
silvestre orang hukum tpi fungi bangat istila bukum ngk erti,negative
jabat kls keong yg gampang pancing emosi,negative
ahli hukum ber ijazah tak pernah ajar pikir cuma ngejar ijazah lalu bangga title nya apa guna buat bangsa,negative
negara bukan cuman engemis jilat jahat mafia kotuptor indonesia kalau tdk jai enjilat jahat tdk sukses besar,negative
bodoh tonton bodoh mu nyala bung rocky,negative
hidup rocky gerung yg gelar professor pintar sarjana hukum benar benar ajar biar baik dlm perintah,positive
tutorial cara mancing emosi orng,negative
keinget guru ngajarin ipa anak baca tulis percuma,negative
argumen bole jangan pakai amorgensi jadi bingung titik akhir,negative
rg orang cerdas,positive
orang bodo emosional jozz bang roki gerung,negative
jozz bang roki gerung mantap,positive
sllu cri kata lwan ulur lebar shingga lwan abis kata msuk dgn bhsa kata yg jauh lbih lbar or emosi gk brfkir nah tjuan rocky,negative
malu lah masa orang acara hukum bicara bahasa kasar tayang stasiun televisi besar saksi banyak rakyat indonesia ga pantas banget orang lawyer,negative
mau ketawa takut dosa rg nyala boss,positive
ingat guna tabu cerdas mu untk yg guna jngn gnakan lebih untk saling jatuh jelek sama,negative
orang dung ditaro debat ilmiah gimana sih,negative
no rocky no party moga bang rocky beri hidayah,neutral
roki garong manusia guna negara indonesia omong doang tuduh bukti,negative
ga ngeti hukum ngaku orang hukum,negative
ini yg akhir jadi viral makin tinggi tonton,negative
bung roky cerdas rakyat,negative
bung rg kyk nguliahin mahasiswa ga sih,negative
bung roki hebat,positive
idiologi om rocky luar biaasa beda sama lawan debat ny gua suka debat kaya gin seru,negative
silferterr aku lihat debat asekk ulang ulang makin lihat bodoh dungu,negative
silvester tdk berfikir,positive
rg sok pintar selalu olah tau segala,positive
