comment,cleaned_comment,tokenized_comment,stopwords_comment,stemmed_comment,cleaned_stemmed,sentiment_prediction
Cari duwitnya untuk mencaci maki orang semoga tidak mendapat apa menjadi gelandangan,cari duwitnya untuk mencaci maki orang semoga tidak mendapat apa menjadi gelandangan,"['cari', 'duwitnya', 'untuk', 'mencaci', 'maki', 'orang', 'semoga', 'tidak', 'mendapat', 'apa', 'menjadi', 'gelandangan']","['cari', 'duwitnya', 'mencaci', 'maki', 'orang', 'semoga', 'gelandangan']","['cari', 'duwitnya', 'caci', 'maki', 'orang', 'moga', 'gelandang']",cari duwitnya caci maki orang moga gelandang,negative
"RG SANGAT SANGAT BERGUNA BAGI MANUSIA YANG BERFIKIR


.",rocky gerung sangat sangat berguna bagi manusia yang berpikir,"['rocky', 'gerung', 'sangat', 'sangat', 'berguna', 'bagi', 'manusia', 'yang', 'berpikir']","['rocky', 'gerung', 'berguna', 'manusia', 'berpikir']","['rocky', 'gerung', 'guna', 'manusia', 'pikir']",rocky gerung guna manusia pikir,negative
"Kita liat saja jika tidak berkuasa lg,apa bacotnya masih keras si paling ngerti hukum😅😅😅",kita lihat saja jika tidak berkuasa lagi apa bacotnya masih keras si paling ngerti hukum,"['kita', 'lihat', 'saja', 'jika', 'tidak', 'berkuasa', 'lagi', 'apa', 'bacotnya', 'masih', 'keras', 'si', 'paling', 'ngerti', 'hukum']","['lihat', 'berkuasa', 'bacotnya', 'keras', 'si', 'ngerti', 'hukum']","['lihat', 'kuasa', 'bacot', 'keras', 'si', 'ngerti', 'hukum']",lihat kuasa bacot keras si ngerti hukum,negative
Katanya mau bahas.yg itu...eeeedia sendiri pakai senjta knapa gak nikah...bujang lapuk...giliran dilayani...dia nya  ngindar....gmna ini orang....,katanya mau bahas yang itu eedia sendiri pakai senjta knapa tidak nikah bujang lapuk giliran dilayani dia nya ngindar gmna ini orang,"['katanya', 'mau', 'bahas', 'yang', 'itu', 'eedia', 'sendiri', 'pakai', 'senjta', 'knapa', 'tidak', 'nikah', 'bujang', 'lapuk', 'giliran', 'dilayani', 'dia', 'nya', 'ngindar', 'gmna', 'ini', 'orang']","['bahas', 'eedia', 'pakai', 'senjta', 'knapa', 'nikah', 'bujang', 'lapuk', 'giliran', 'dilayani', 'ngindar', 'gmna', 'orang']","['bahas', 'eedia', 'pakai', 'senjta', 'knapa', 'nikah', 'bujang', 'lapuk', 'gilir', 'layan', 'ngindar', 'gmna', 'orang']",bahas eedia pakai senjta knapa nikah bujang lapuk gilir layan ngindar gmna orang,negative
Haduh.....ini orang sekolah apak enggak ya 😁,haduh ini orang sekolah apak enggak ya,"['haduh', 'ini', 'orang', 'sekolah', 'apak', 'enggak', 'ya']","['haduh', 'orang', 'sekolah', 'apak', 'ya']","['haduh', 'orang', 'sekolah', 'apak', 'ya']",haduh orang sekolah apak ya,negative
Rocky di lawan debat ya musuh debat nya emosi😂😅😅.,rocky di lawan debat ya musuh debat nya emosi,"['rocky', 'di', 'lawan', 'debat', 'ya', 'musuh', 'debat', 'nya', 'emosi']","['rocky', 'lawan', 'debat', 'ya', 'musuh', 'debat', 'emosi']","['rocky', 'lawan', 'debat', 'ya', 'musuh', 'debat', 'emosi']",rocky lawan debat ya musuh debat emosi,negative
13:06 eh ada yang ngaku dan tidak sadar 🤣🤣🤣,eh ada yang ngaku dan tidak sadar,"['eh', 'ada', 'yang', 'ngaku', 'dan', 'tidak', 'sadar']","['eh', 'ngaku', 'sadar']","['eh', 'ngaku', 'sadar']",eh ngaku sadar,negative
"Gilaaa RG di lawan...
Kok jd ngawur ngomong nya kesana sini ???
Malah masalah yg ga penting di omongin !!! Bilang bujang lapuk segala !!! Kasihan",gilaa rocky gerung di lawan kok jadi ngawur ngomong nya kesana sini malah masalah yang tidak penting di omongin bilang bujang lapuk segala kasihan,"['gilaa', 'rocky', 'gerung', 'di', 'lawan', 'kok', 'jadi', 'ngawur', 'ngomong', 'nya', 'kesana', 'sini', 'malah', 'masalah', 'yang', 'tidak', 'penting', 'di', 'omongin', 'bilang', 'bujang', 'lapuk', 'segala', 'kasihan']","['gilaa', 'rocky', 'gerung', 'lawan', 'ngawur', 'ngomong', 'kesana', 'omongin', 'bilang', 'bujang', 'lapuk', 'kasihan']","['gilaa', 'rocky', 'gerung', 'lawan', 'ngawur', 'ngomong', 'kesana', 'omongin', 'bilang', 'bujang', 'lapuk', 'kasihan']",gilaa rocky gerung lawan ngawur ngomong kesana omongin bilang bujang lapuk kasihan,negative
"Orang hukum ga tau , primsip hukum dsar penjilat wkwk",orang hukum tidak tau primsip hukum dsar penjilat wkwk,"['orang', 'hukum', 'tidak', 'tau', 'primsip', 'hukum', 'dsar', 'penjilat', 'wkwk']","['orang', 'hukum', 'tau', 'primsip', 'hukum', 'dsar', 'penjilat']","['orang', 'hukum', 'tau', 'primsip', 'hukum', 'dsar', 'jilat']",orang hukum tau primsip hukum dsar jilat,negative
kalo saya jadi anak ato istri nya Silvester sumpah udh MALU.. Pak RG selamat anda menang telak!!!,kalau saya jadi anak ato istri nya silfester sumpah sudah malu pak rocky gerung selamat anda menang telak,"['kalau', 'saya', 'jadi', 'anak', 'ato', 'istri', 'nya', 'silfester', 'sumpah', 'sudah', 'malu', 'pak', 'rocky', 'gerung', 'selamat', 'anda', 'menang', 'telak']","['anak', 'ato', 'istri', 'silfester', 'sumpah', 'malu', 'rocky', 'gerung', 'selamat', 'menang', 'telak']","['anak', 'ato', 'istri', 'silfester', 'sumpah', 'malu', 'rocky', 'gerung', 'selamat', 'menang', 'telak']",anak ato istri silfester sumpah malu rocky gerung selamat menang telak,negative
"💥 MenyaLa Bos
Bang Rocky Memang Cerdas",menyala bos bang rocky memang cerdas,"['menyala', 'bos', 'bang', 'rocky', 'memang', 'cerdas']","['menyala', 'bos', 'bang', 'rocky', 'cerdas']","['nyala', 'bos', 'bang', 'rocky', 'cerdas']",nyala bos bang rocky cerdas,negative
Rocky ko dilawan dan kalo kalah berdebat jangan emosi bos .,rocky ko dilawan dan kalau kalah berdebat jangan emosi bos,"['rocky', 'ko', 'dilawan', 'dan', 'kalau', 'kalah', 'berdebat', 'jangan', 'emosi', 'bos']","['rocky', 'ko', 'dilawan', 'kalah', 'berdebat', 'emosi', 'bos']","['rocky', 'ko', 'lawan', 'kalah', 'debat', 'emosi', 'bos']",rocky ko lawan kalah debat emosi bos,negative
Kalah debat ko emosi jiwa...payahh 😂😂😅😅,kalah debat ko emosi jiwa payahh,"['kalah', 'debat', 'ko', 'emosi', 'jiwa', 'payahh']","['kalah', 'debat', 'ko', 'emosi', 'jiwa', 'payahh']","['kalah', 'debat', 'ko', 'emosi', 'jiwa', 'payahh']",kalah debat ko emosi jiwa payahh,negative
Rocky Gerung keren poll🎉,rocky gerung keren poll,"['rocky', 'gerung', 'keren', 'poll']","['rocky', 'gerung', 'keren', 'poll']","['rocky', 'gerung', 'keren', 'poll']",rocky gerung keren poll,negative
3 juta lebih org Indonesia menonton kedunguan silvester ini😂,juta lebih orang indonesia menonton kedunguan silfester ini,"['juta', 'lebih', 'orang', 'indonesia', 'menonton', 'kedunguan', 'silfester', 'ini']","['juta', 'orang', 'indonesia', 'menonton', 'kedunguan', 'silfester']","['juta', 'orang', 'indonesia', 'tonton', 'dungu', 'silfester']",juta orang indonesia tonton dungu silfester,negative
Rocky Gerung vs Penjilat sombong.. 😅,rocky gerung versus penjilat sombong,"['rocky', 'gerung', 'versus', 'penjilat', 'sombong']","['rocky', 'gerung', 'versus', 'penjilat', 'sombong']","['rocky', 'gerung', 'versus', 'jilat', 'sombong']",rocky gerung versus jilat sombong,negative
Silfestre mundur saja memalukan,silfestre mundur saja memalukan,"['silfestre', 'mundur', 'saja', 'memalukan']","['silfestre', 'mundur', 'memalukan']","['silfestre', 'mundur', 'malu']",silfestre mundur malu,negative
Ada EMBER ada Roky Gerung 😜😡,ada ember ada rocky gerung,"['ada', 'ember', 'ada', 'rocky', 'gerung']","['ember', 'rocky', 'gerung']","['ember', 'rocky', 'gerung']",ember rocky gerung,negative
"Silvester menjijikan,... sekaliber dia tdk bs mengontrol emosi padahal nata sumber yg semestinya memberi edukasi dan pribadi yg bs diteladani,... hebat akal sehat yg mampu merendahkan kedunguan
...",silfester menjijikan sekaliber dia tidak bisa mengontrol emosi padahal nata sumber yang semestinya memberi edukasi dan pribadi yang bisa diteladani hebat akal sehat yang mampu merendahkan kedunguan,"['silfester', 'menjijikan', 'sekaliber', 'dia', 'tidak', 'bisa', 'mengontrol', 'emosi', 'padahal', 'nata', 'sumber', 'yang', 'semestinya', 'memberi', 'edukasi', 'dan', 'pribadi', 'yang', 'bisa', 'diteladani', 'hebat', 'akal', 'sehat', 'yang', 'mampu', 'merendahkan', 'kedunguan']","['silfester', 'menjijikan', 'sekaliber', 'mengontrol', 'emosi', 'nata', 'sumber', 'semestinya', 'edukasi', 'pribadi', 'diteladani', 'hebat', 'akal', 'sehat', 'merendahkan', 'kedunguan']","['silfester', 'jijik', 'kaliber', 'kontrol', 'emosi', 'nata', 'sumber', 'mesti', 'edukasi', 'pribadi', 'teladan', 'hebat', 'akal', 'sehat', 'rendah', 'dungu']",silfester jijik kaliber kontrol emosi nata sumber mesti edukasi pribadi teladan hebat akal sehat rendah dungu,negative
"Jika ada yg marah,dgn kata penjilat,mk itulah sesungguhnya penjilat krn tdk mau di anggap penjilat.",jika ada yang marah dengan kata penjilat mk itulah sesungguhnya penjilat karena tidak mau di anggap penjilat,"['jika', 'ada', 'yang', 'marah', 'dengan', 'kata', 'penjilat', 'mk', 'itulah', 'sesungguhnya', 'penjilat', 'karena', 'tidak', 'mau', 'di', 'anggap', 'penjilat']","['marah', 'penjilat', 'mk', 'sesungguhnya', 'penjilat', 'anggap', 'penjilat']","['marah', 'jilat', 'mk', 'sungguh', 'jilat', 'anggap', 'jilat']",marah jilat mk sungguh jilat anggap jilat,negative
"Bujangan lapuk yg cerdas & hrs ada orang seperti Bung Rocky yg tenang hadapi org yg motong² pembicarakan dgn emosional .
Tenang Bung ...😊😂",bujangan lapuk yang cerdas hrs ada orang seperti bung rocky yang tenang hadapi orang yang motong pembicarakan dengan emosional tenang bung,"['bujangan', 'lapuk', 'yang', 'cerdas', 'hrs', 'ada', 'orang', 'seperti', 'bung', 'rocky', 'yang', 'tenang', 'hadapi', 'orang', 'yang', 'motong', 'pembicarakan', 'dengan', 'emosional', 'tenang', 'bung']","['bujangan', 'lapuk', 'cerdas', 'hrs', 'orang', 'rocky', 'tenang', 'hadapi', 'orang', 'motong', 'pembicarakan', 'emosional', 'tenang']","['bujang', 'lapuk', 'cerdas', 'hrs', 'orang', 'rocky', 'tenang', 'hadap', 'orang', 'motong', 'bicara', 'emosional', 'tenang']",bujang lapuk cerdas hrs orang rocky tenang hadap orang motong bicara emosional tenang,negative
Hahaha itu orang malah mempermalukan dirinya sendiri di hadapan Rocky Gerung😂😂😂😂,hahaha itu orang malah mempermalukan dirinya sendiri di hadapan rocky gerung,"['hahaha', 'itu', 'orang', 'malah', 'mempermalukan', 'dirinya', 'sendiri', 'di', 'hadapan', 'rocky', 'gerung']","['hahaha', 'orang', 'mempermalukan', 'hadapan', 'rocky', 'gerung']","['hahaha', 'orang', 'malu', 'hadap', 'rocky', 'gerung']",hahaha orang malu hadap rocky gerung,negative
Yang saya tau yg merugikan bangsi ini para kroup yang gak jelas hukumnya kemana,yang saya tau yang merugikan bangsi ini para kroup yang tidak jelas hukumnya kemana,"['yang', 'saya', 'tau', 'yang', 'merugikan', 'bangsi', 'ini', 'para', 'kroup', 'yang', 'tidak', 'jelas', 'hukumnya', 'kemana']","['tau', 'merugikan', 'bangsi', 'kroup', 'hukumnya', 'kemana']","['tau', 'rugi', 'bangsi', 'kroup', 'hukum', 'mana']",tau rugi bangsi kroup hukum mana,negative
Silferster kalah debat sama bung rocky...belajar yang banyak sama bung rocky boss...,silferster kalah debat sama bung rocky belajar yang banyak sama bung rocky boss,"['silferster', 'kalah', 'debat', 'sama', 'bung', 'rocky', 'belajar', 'yang', 'banyak', 'sama', 'bung', 'rocky', 'boss']","['silferster', 'kalah', 'debat', 'rocky', 'belajar', 'rocky', 'boss']","['silferster', 'kalah', 'debat', 'rocky', 'ajar', 'rocky', 'boss']",silferster kalah debat rocky ajar rocky boss,negative
Gk bisa kontrol emosinya 😂😂,tidak bisa kontrol emosinya,"['tidak', 'bisa', 'kontrol', 'emosinya']","['kontrol', 'emosinya']","['kontrol', 'emosi']",kontrol emosi,negative
Gila ini...mempertontonkan kedunguan sendiri 😂😂😂,gila ini mempertontonkan kedunguan sendiri,"['gila', 'ini', 'mempertontonkan', 'kedunguan', 'sendiri']","['gila', 'mempertontonkan', 'kedunguan']","['gila', 'tonton', 'dungu']",gila tonton dungu,negative
"Kalo orang sdh tdk suka sm org ttp sj tdk suka walaupun kita punya alasan lain, dengerin aj 😂",kalau orang sudah tidak suka sama orang ttp sj tidak suka walaupun kita punya alasan lain dengerin saja,"['kalau', 'orang', 'sudah', 'tidak', 'suka', 'sama', 'orang', 'ttp', 'sj', 'tidak', 'suka', 'walaupun', 'kita', 'punya', 'alasan', 'lain', 'dengerin', 'saja']","['orang', 'suka', 'orang', 'ttp', 'sj', 'suka', 'alasan', 'dengerin']","['orang', 'suka', 'orang', 'ttp', 'sj', 'suka', 'alas', 'dengerin']",orang suka orang ttp sj suka alas dengerin,negative
"melawan rocky dengan cara bodoh, maka makin kelihatan bodohnya",melawan rocky dengan cara bodoh maka makin kelihatan bodohnya,"['melawan', 'rocky', 'dengan', 'cara', 'bodoh', 'maka', 'makin', 'kelihatan', 'bodohnya']","['melawan', 'rocky', 'bodoh', 'bodohnya']","['lawan', 'rocky', 'bodoh', 'bodoh']",lawan rocky bodoh bodoh,negative
Apa gunanya si RG ini buat negara ini..setiap hari sibuk ngurusin orang lain..cari istri dulu biar berdebatnya sama istri setiap malam,apa gunanya si rocky gerung ini buat negara ini setiap hari sibuk ngurusin orang lain cari istri dulu biar berdebatnya sama istri setiap malam,"['apa', 'gunanya', 'si', 'rocky', 'gerung', 'ini', 'buat', 'negara', 'ini', 'setiap', 'hari', 'sibuk', 'ngurusin', 'orang', 'lain', 'cari', 'istri', 'dulu', 'biar', 'berdebatnya', 'sama', 'istri', 'setiap', 'malam']","['gunanya', 'si', 'rocky', 'gerung', 'negara', 'sibuk', 'ngurusin', 'orang', 'cari', 'istri', 'biar', 'berdebatnya', 'istri', 'malam']","['guna', 'si', 'rocky', 'gerung', 'negara', 'sibuk', 'ngurusin', 'orang', 'cari', 'istri', 'biar', 'debat', 'istri', 'malam']",guna si rocky gerung negara sibuk ngurusin orang cari istri biar debat istri malam,negative
"😅😅 nyerang pri badi bisanya
Jangan nyebut pecundang keroki",nyerang pri badi bisanya jangan nyebut pecundang keroki,"['nyerang', 'pri', 'badi', 'bisanya', 'jangan', 'nyebut', 'pecundang', 'keroki']","['nyerang', 'pri', 'badi', 'bisanya', 'nyebut', 'pecundang', 'keroki']","['nyerang', 'pri', 'badi', 'bisa', 'nyebut', 'cundang', 'kerok']",nyerang pri badi bisa nyebut cundang kerok,negative
jgn lagi layanan sdlfister itu. kacau,jangan lagi layanan sdlfister itu kacau,"['jangan', 'lagi', 'layanan', 'sdlfister', 'itu', 'kacau']","['layanan', 'sdlfister', 'kacau']","['layan', 'sdlfister', 'kacau']",layan sdlfister kacau,negative
"Tapi, memang Rocky ini juga muter2 ngomongnya. Gak to the point. Dan ucapannya memang sarkas cenderung merendahkan orang. Kebanyakan kita terbuai sama style dia bongkar tiap kata, konsep2 pemikiran, dan teori2. Kalo diperhatikan dia gak menjawab inti pertanyaan.",tapi memang rocky ini juga putar ngomongnya tidak to the point dan ucapannya memang sarkas cenderung merendahkan orang kebanyakan kita terbuai sama style dia bongkar tiap kata konsep pemikiran dan teori kalau diperhatikan dia tidak menjawab inti pertanyaan,"['tapi', 'memang', 'rocky', 'ini', 'juga', 'putar', 'ngomongnya', 'tidak', 'to', 'the', 'point', 'dan', 'ucapannya', 'memang', 'sarkas', 'cenderung', 'merendahkan', 'orang', 'kebanyakan', 'kita', 'terbuai', 'sama', 'style', 'dia', 'bongkar', 'tiap', 'kata', 'konsep', 'pemikiran', 'dan', 'teori', 'kalau', 'diperhatikan', 'dia', 'tidak', 'menjawab', 'inti', 'pertanyaan']","['rocky', 'putar', 'ngomongnya', 'point', 'ucapannya', 'sarkas', 'cenderung', 'merendahkan', 'orang', 'kebanyakan', 'terbuai', 'style', 'bongkar', 'konsep', 'pemikiran', 'teori', 'diperhatikan', 'inti']","['rocky', 'putar', 'ngomongnya', 'point', 'ucap', 'sarkas', 'cenderung', 'rendah', 'orang', 'banyak', 'buai', 'style', 'bongkar', 'konsep', 'pikir', 'teori', 'perhati', 'inti']",rocky putar ngomongnya point ucap sarkas cenderung rendah orang banyak buai style bongkar konsep pikir teori perhati inti,negative
kasihan rocky dibentak bentak karena bilang orang bodoh.kwkwkwk...,kasihan rocky dibentak bentak karena bilang orang bodoh kwkwkwk,"['kasihan', 'rocky', 'dibentak', 'bentak', 'karena', 'bilang', 'orang', 'bodoh', 'kwkwkwk']","['kasihan', 'rocky', 'dibentak', 'bentak', 'bilang', 'orang', 'bodoh', 'kwkwkwk']","['kasihan', 'rocky', 'bentak', 'bentak', 'bilang', 'orang', 'bodoh', 'kwkwkwk']",kasihan rocky bentak bentak bilang orang bodoh kwkwkwk,negative
"Rocky Gerung sangat berguna bagi anak anak bangsa yang masih punya AKAL SEHAT.
CHICO HAKIM membongkar Silfester baru lulus kuliah tahun 2020 dari kampus abal-abal, Universitas WIRASWASTA INDONESIA yang  sudah ditutup DikTi karena melakukan pelanggaran berat.",rocky gerung sangat berguna bagi anak anak bangsa yang masih punya akal sehat chico hakim membongkar silfester baru lulus kuliah tahun dari kampus abal abal universitas wiraswasta indonesia yang sudah ditutup dikti karena melakukan pelanggaran berat,"['rocky', 'gerung', 'sangat', 'berguna', 'bagi', 'anak', 'anak', 'bangsa', 'yang', 'masih', 'punya', 'akal', 'sehat', 'chico', 'hakim', 'membongkar', 'silfester', 'baru', 'lulus', 'kuliah', 'tahun', 'dari', 'kampus', 'abal', 'abal', 'universitas', 'wiraswasta', 'indonesia', 'yang', 'sudah', 'ditutup', 'dikti', 'karena', 'melakukan', 'pelanggaran', 'berat']","['rocky', 'gerung', 'berguna', 'anak', 'anak', 'bangsa', 'akal', 'sehat', 'chico', 'hakim', 'membongkar', 'silfester', 'lulus', 'kuliah', 'kampus', 'abal', 'abal', 'universitas', 'wiraswasta', 'indonesia', 'ditutup', 'dikti', 'pelanggaran', 'berat']","['rocky', 'gerung', 'guna', 'anak', 'anak', 'bangsa', 'akal', 'sehat', 'chico', 'hakim', 'bongkar', 'silfester', 'lulus', 'kuliah', 'kampus', 'abal', 'abal', 'universitas', 'wiraswasta', 'indonesia', 'tutup', 'dikti', 'langgar', 'berat']",rocky gerung guna anak anak bangsa akal sehat chico hakim bongkar silfester lulus kuliah kampus abal abal universitas wiraswasta indonesia tutup dikti langgar berat,negative
"Ini debat apa tanya jawab sih.. 
Rocky rocky",ini debat apa tanya jawab sih rocky rocky,"['ini', 'debat', 'apa', 'tanya', 'jawab', 'sih', 'rocky', 'rocky']","['debat', 'sih', 'rocky', 'rocky']","['debat', 'sih', 'rocky', 'rocky']",debat sih rocky rocky,negative
"Saya sudah S2 tapi saya banyak  dapat ilmu dari Chanel yg menayangkan debat, atau kajian dari RG",saya sudah tapi saya banyak dapat ilmu dari chanel yang menayangkan debat atau kajian dari rocky gerung,"['saya', 'sudah', 'tapi', 'saya', 'banyak', 'dapat', 'ilmu', 'dari', 'chanel', 'yang', 'menayangkan', 'debat', 'atau', 'kajian', 'dari', 'rocky', 'gerung']","['ilmu', 'chanel', 'menayangkan', 'debat', 'kajian', 'rocky', 'gerung']","['ilmu', 'chanel', 'tayang', 'debat', 'kaji', 'rocky', 'gerung']",ilmu chanel tayang debat kaji rocky gerung,negative
"Yang satunya konyol, yang satunya sombong",yang satunya konyol yang satunya sombong,"['yang', 'satunya', 'konyol', 'yang', 'satunya', 'sombong']","['satunya', 'konyol', 'satunya', 'sombong']","['satu', 'konyol', 'satu', 'sombong']",satu konyol satu sombong,negative
"Penjilat disebut Penjilat 
Marah 
Aneh",penjilat disebut penjilat marah aneh,"['penjilat', 'disebut', 'penjilat', 'marah', 'aneh']","['penjilat', 'penjilat', 'marah', 'aneh']","['jilat', 'jilat', 'marah', 'aneh']",jilat jilat marah aneh,negative
Beda kelas coy......,beda kelas coy,"['beda', 'kelas', 'coy']","['beda', 'kelas', 'coy']","['beda', 'kelas', 'coy']",beda kelas coy,negative
"Dzolim.itu bukan kata org tapi kata Lu, .......ngomong ke san ke sana kemari",dzolim itu bukan kata orang tapi kata anda ngomong ke san ke sana kemari,"['dzolim', 'itu', 'bukan', 'kata', 'orang', 'tapi', 'kata', 'anda', 'ngomong', 'ke', 'san', 'ke', 'sana', 'kemari']","['dzolim', 'orang', 'ngomong', 'san', 'kemari']","['dzolim', 'orang', 'ngomong', 'san', 'kemari']",dzolim orang ngomong san kemari,negative
