cleaned_stemmed,sentiment_prediction
rocky lawan orang istana amplop rurun istana adan nda amplok,negative
malu bjr forum ko marah,negative
hahahahah rocky lawan,negative
njirr,negative
ijazah sylver abal abal,positive
adu gagas adu otot kali undang narasumber gampang emosi,negative
pancing bilang jilat ee longor,negative
silfester silfester lulus smp ngerti maksud rocky gerung jebak dngan bodoh asih kelit nilai iq iq msh jongkok semangat rocky,negative
main gap gap,negative
maling teriak maling jilat teriak jilat silfester sangkal hal aku,negative
silverster makan umpan pancing rockey singgung mental koyak,negative
singgung langsung emosi,negative
otak uda dubur seprti si om plester,negative
orang muka pnjilat tau orang hukum bukti dasar bod,negative
rocky gerung wawas emg luas lulus kuliah kuasa wawas akademik,positive
rocky party,positive
silfester emang kompeten debat,positive
dungu debat serang pribadi,positive
parsimoni kaga paham doi tau parsel,positive
orang dungu emang susah ajak debat ya rocky bravo rocky gerung sehat,positive
silfester jilat suka puji muji kuasa menang,positive
silfester ruhut poltak raja minyak sitompul debat rocky endingnya ketampol emosi nyerang pribadi,negative
bang rocky gerung hebat banget,positive
juta viuw,negative
hormat master rocky ilmu terima kasih master rocky,positive
mana hebat gerong maju ketentraman bangsa,positive
sadar bodoh silfester matutina,negative
bangga rocky gerung,positive
rocky debat rakyat rocky stop debat bikin masyarakat bodoh karna masyarakat erti,negative
orang pake jaz biru emosi ilmu tahu nol aneh turut,negative
gara jilat panas ngerasa ngejilat pakk,negative
da debat rocky jokowi imbang jenius rocky gerombolanya sibuk ajar jilat,negative
mantap rocky,positive
kali lihat debat otak jenius rocky gerung,negative
rocky gerung best,positive
guna fitnah gerung sampah negara,negative
rocky gerung filsafat hidup pribadi rumit,negative
nothing silfester,neutral
mahasiswa ketawa lihat laku silfester hahaha,positive
debat orang cerdas lawan orang dungu nggk nyambung,negative
demokrasi dewasa indonesia demokrasi tokoh politikus dewasa msh tk,positive
rocky benci jokowinya benci sistem laku kerja negara,negative
smangat bang rocky,positive
wajar indonesia maju koruptor hukum,negative
jilat pancing emosi mantab bang rocky,positive
rocky mantap contoh orang libat dalamkepenting sia beda lawa bela jabat,positive
terima kasih inews track record hidup,positive
rocky gerung lawan,negative
sih banget kayak selenggara acara sengaja naro kecebong paus kolam,negative
sehat rocky gerung rakyat indonesia sama,positive
kedunguuan poin orang aku otak kontrol emosi,negative
menit si kameramen kuasa tahan tawa ngeliat kocak si silfester totally outplayed rocky gerung,negative
ilmu rocky hebat si ikan dungu pancing bkin tmbah semngat nonton rocky gerung hebat,positive
rasain luh simoni,positive
pintar otak rocky gerungg susah debat om rocky wawsannya luas,negative
pintar rk salut jelek timnas suka beda olahraga politik olahraga stamina politik kepinteran individu sialakan rocky gerung politik masuk je ranah sepakbola,negative
maju rocky,positive
silfester rocky kasar paksa dy tutup,positive
muka cerah cerah sih,negative
gilak gilak,negative
rocky yess,positive
ricky belit belit tuju jawab masuk sesuai prinsip metodelogi ya oke silfester suka langsung point nan pokok utama,positive
nothingness tulis heidegger tulis jean paul sartre tulis heidegger time,negative
rocky debat otak,negative
geli geli geli otak lawan otot,negative
inti bicara rocky pakai intelek ruwet karna rocky pintar lupa adab asal,positive
orang bodoh senang bang rocky moga bangroki sehat,negative
udah gila si rocky gerung,negative
meni urus,negative
kasi nang spertinya malu,negative
rocky emang akdemisi unggul nomor indonesia cocok cerdas rakyat pimpin bangsa,positive
ngedebrus,positive
emang zfer lenjilat,negative
mending gitu rocky gerung mending ngurus politik sok paham ngurus bola,negative
hayo adek bo,negative
ikan pancing,positive
maju bang rocky,positive
hukum filsafat jalan,positive
bela segitunya wkwkwkwkwk malu,positive
bang rocky tahu orang awam tk,positive
silfester bilang rocky gerung guna guna,positive
masarakat simpul rocky gerung bukti ilmiah putar teori mahasewa keren bukti,negative
aneh kalah debat ko ngamuk,negative
mantap jebak,positive
asa dapet kuliah gratis rocky,positive
oramg gilang undang,negative
rocky sgt guna nusa bangsa beliu informasi pincang nahkoda awakkapal,negative
bahasa bodoh silfester marah jngn bil silfester salah beliau uncur benar,negative
tolong orang undang,negative
fight rocky gerung menang sih rocky gerung wakil ketua panjat tebing rekreasi cengkraman orang olahraga panjat tebing tuh kenceng banget tau coba langsung suruh cengkram jas biru,positive
si muka cerah bahagia gelap gulita adab etika malu keluar kasar pantass live saksi rakyat indonesia gimana kalah bujang lapuk yaa yaahh sehat rocky,positive
bukittinggi jokowi orang sepi bos,negative
tinggal bilang repot sih,negative
banned umur hidup tv si silfester,negative
pakar hukum jebak bang rocky pakar hukum baca buku isi buku bang rocky paham,negative
rocky nothing bakteri negara,neutral
rocky gerung bukanb lawan sj orang pintar lawan orang dungu,negative
hebat rocky mantab,positive
silfester,positive
rocky gerung mode dosen sidang mahasiswa serang titik lemah intektualitas,negative
rocky best,positive
rocky lawan imbang budiman sudjatmiko,positive
bodohin yangbada mna bdoh mnanyang,negative
susah ngomong orang bofohbtolok yerangbpribadinorang,negative
sylfester muka muka ideot,positive
rocky gerung action kosong cari gara buang layan orang suka cari tengkar kali bincang tinggal rana orang ubah cari aib orang nak tutup aib,negative
rocky gerung bodoh narasumber teruss wkwkkw saran mah gapunya argumen dateng tv deh,negative
mantap bang rroky,positive
buta pikir akademis cewe jokowi ngak bukti jokowi,negative
debat manfaat nkri,negative
ajar rocky jilat,positive
silfester tau nyeplos biar liat intelek cecer gelagap autopanik bikin malu,negative
jas biru mantul bicara ilmu knyataan rocky gerung bicara ilmu teori ilmu tulis buku,positive
orang ngga emosi ngga viral kenal orang,negative
nonton udah mata kuliah filsafat terima kasih rocky gerung guna anak anak bangsa indonesia,positive
sikatt meledaakk rocky gerungg kereenn,negative
kerreen rocky,positive
silfes terpojookk serang pribadi,positive
bang rocky gerung bawa kuliah cerdas anak bangsa,positive
emosi marah situ jadi mudah kecundang debate bukti fakta ribut mana asa selesa ilmu lebih lawan situ lemah kak hebat patut rendah hati pancing soal,negative
definisi rocky party keren rocky gerung kontrol emosi pinter ulur bicara lawan bicara tampak sisi sungguh,negative
rocky kerenn,positive
negara indonesia ngapain pake bahasa pakai,positive
bilang rocky jantan rocky nikah jantan,neutral
debat orang hukum bahasa makan hukum bagus rocky orang ber ilmu,positive
udah maaf aiman podcast,positive
rocky orang pintar bodoh karna manusia terang bodoh orang topik malam siang bodoh pelihara loh,negative
well dungu,positive
rocky gerung pintar debat sayang nyambung bikin fitnah,negative
keluar rocky ribut aiman,positive
malu sihh,negative
bukti jokowi cawe pilkada nuduh orang pakai tiori bukti cundang,negative
tlong rocky jngan sellu tampil lyar kaca sombong skali jga lihat,negative
guru hukum tau tau sih wajar ajar hukum tau,positive
rocky gerung beli logika preman anggota banget balas bullyian rocky gerung olahraga kasih sayang ala preman kannboleh balas bully ahli,negative
bravo rocky gerung brillian,positive
fashion lekat tubuh kepala kaki bagus branded isi otak kualitas otak bagus branded beda rocky tampil sederhana isi otak glowing sinar kualitas,positive
rocky gerung orang sakit,negative
kalah debat rmosi,negative
manusia jelbo,negative
debat guna,positive
maaf rocky gerung ketuker nothingness sartre heidegger time,negative
rocky cerdas,positive
kuliah debat nilai rocky gerung pintar dongeng suka pancing ribut langsung bahas inti putar putar niat lawan bicara akan bodoh bahas,negative
betulrokibitu dampah masarzkatvitu,negative
ditspui sudh neradabesar kepala rocky,negative
emang bahasa sederhana sumua katkatmu visdi erti senagian vesar rzkyart dibexus,positive
uyg tsrangka rocky kautu sudh angap snph ruh rakyat indo esia,negative
rokye gerung orang pintar putar balik fakta bukti negara,negative
kali rocky gerung kena mental,negative
orang si felter muncul medsos geen manieren,negative
orang bodoh ajak debat dengan sikap baik diam tanggap layan susah teman dengan sakit hati bodoh pikir bijak bijak bahawa bodoh dunia orang bodoh orang pintar penuh ragu,negative
rocky rocky kualat syukur jokowi laden anda tuhan bebas dosa pasti cari pasti cin cang,positive
jaga,positive
semangat bang rocky grung sehat slalu bang rocky grung,positive
liat ilmu milik rocky gerung cerdas bangsa konyol banget quest rocky gerung si jilat gatau,positive
lucu silfes kaya anak tk debat,negative
rocky gerung cerdas bantu masyarakat sehat,positive
pikaseurieun ngadengekeun jas biru ngomong na kmn karep lieur teu asup kana otak na ge,negative
hiduup bang rocky,positive
sianu debat bisa tengkar,negative
sedonggok,negative
dagel mutu,positive
suda kasih bukti mash ngerti ya katain bodoh,negative
gila nih rocky pintar banget,negative
rokibicaranyajangan hina orang yang palinghina,negative
ngamokk om bo,negative
wrga ntb duking rocky gerung,negative
silpelter kasi debat rocky gerung malu,negative
lawan rocky mah bro,negative
ikan kena pancing rocky gerung tarik ulur benang kait ikan rocky gerung sukses main ikan hibur orang orang dungu tampil televisi rocky gerung,positive
anak turun keluarga malu jejak digital muka karakteristik dalam ruang dalam isi kepala dada kasihan manusia hidup siksa gejolak,negative
kasi rakyat banyak sadar,negative
ya alloh kasi rocky hasil bukti bukti teori hukum,positive
wawas luas rocky,negative
best momen menit ya gays,positive
kaya gin tayangin mending tayangin hutan bang biar monyet nonton,negative
jilat jya,positive
dsini masarakat dungu pancing hh rocky kliatan gila cundang nth apa orang anti rocky iq lgi,negative
limabelas kali putar hasil salut pikir bang rocky bang silfester sabar ajar baca taux ketemu panggung bang rocky,positive
mantap rocky gerus berfikirnya ilmu,positive
dunggunya,negative
bang rocky best,positive
tertawa takut dosa,negative
udah pintar takut hilang jabat duit dungu tobat sadar baik ken baik maju bangsa agama negara daerah merampad jabat kaya,positive
rocky rocky si bujang lapok sok kritik orang koreksi diri rocky gerung cakap rocky nikah cakap cundang bng silfester cakap si rocky gerung bukti,negative
ahaha pake emosi,negative
beda kompleks ilmu tahu sederhana template bicara beril beda kualitas bro pacta sund servanda wakil jalan demokrasi periode pimpin dinasti mulyono,positive
rocky kasih kisi emang nyambung lawan biacaranya sehat rocky garda pikir indonesia,positive
rocky gerung undang acara bikin ricuh aca orang wewenang undang,negative
tohok banget kalimat ikan pancing rocky debat ilmu filsuf,negative
lulus ruko,positive
salah dungu seseorg kontrol emosional,negative
keren bang rocky lawa sayang imbang,positive
mantap rocky,positive
rocky cerdas sebut nama tuding umpan ikan muncul aku lemah bangsa sabar hasil pondasi keilmuanya prematur rocky gerung coba terang pondasi bak akar pohon pikir biar pohon kuat topang pikir ranting silfester sabar menang gesa data bukti sisi hukum bukti data rekayasa logic pikir mudah rekayasa orang sabar tutup kuping tutup ilmu,negative
malaikat upah,negative
cerah bahagia bahagia hati,positive
rocky gerung,positive
liat banget,positive
rocky gerung guna cerdas anak bangsa,positive
udah bng rocky ladenin capex bng rocky ngejelasin nyambung,negative
broo rocky murid murid percaya,positive
asekk ikan pancing hahha jaz biru lucu poll,negative
hahaha kocak jaz biru,positive
mantap bang rocky wakil rakyat penting golong jilat broo,positive
orang bayar situ,negative
rocky gerung cerdas top,positive
pancing aku,negative
keren bang rocky gerung,positive
silvestre orang hukum fungi bangat ya istila bukum erti,negative
jabat kls keong gampang pancing emosi,negative
ahli hukum ber ijazah ajar pikir ngejar ijazah bangga title guna bangsa,negative
negara cuman engemis jilat jahat mafia kotuptor indonesia jai enjilat jahat sukses,negative
bodoh tonton bodoh nyala rocky,negative
hidup rocky gerung gelar professor pintar sarjana hukum ajar biar perintah,positive
tutorial mancing emosi orang,negative
keinget guru ngajarin ipa anak baca tulis,negative
argumen bole pakai amorgensi bingung titik,positive
rocky gerung orang cerdas,negative
orang bodoh emosional jozz bang rocky gerung,negative
jozz bang rocky gerung mantap,positive
sllu cri lwan ulur lebar shingga lwan habis msuk bhsa lbih lbar emosi brfkir tjuan rocky,negative
malu acara hukum bicara bahasa kasar tayang stasiun televisi saksi rakyat indonesia banget lawyer,negative
ketawa takut dosa rocky gerung nyala boss,positive
tabu cerdas untk guna jngn gnakan lebih untk jatuh jelek,negative
orang dung ditaro debat ilmiah gimana sih,negative
rocky party moga bang rocky hidayah,positive
rocky garong manusia guna negara indonesia omong doang tuduh bukti,negative
ngeti hukum ngaku orang hukum,negative
viral tonton,negative
rocky cerdas rakyat,positive
rocky gerung nguliahin mahasiswa sih,negative
rocky hebat,positive
idiologi om rocky biaasa beda lawan debat suka debat kaya gin seru,negative
silferterr lihat debat asekk ulang ulang bodoh dungu,negative
silfester pikir,positive
rocky gerung sok pintar olah tau,negative
iya si mulyono sambut orang emang karna harap bansos coba rakyat makmur miriss bansos kalah akaal sehat,negative
hahaha jilat pancing mlh emosi super jilat,negative
fix tonton bodoh lulus hukum jalur belah paham etimologi buku baca dosen lawan bos,negative
manusia tuhan mulut percaya orang wadah reporter dukung,negative
muak rocky gerung,negative
duhh aiman gimana si silverster udah ngawur gitu stop mulut,negative
hahaha pusing bangett lawan rocky,negative
orang ngerti hukum tau istilah ucap rocky gerung tau poin bicara si silvestre ngerti,negative
ya rocky arah buku ya dosen gitu,negative
best rocky,positive
ngefans banget pikir rocky gerung box knowledge beliau luar cerdas manusia,negative
rocky gerong nenek moyang indonesia guna bangsa cina cari untung negeri,positive
sadis rocky lawan malu tuh lola,negative
orang anggap bodoh pd orang bodoh tutup bodoh,negative
bj habibie rocky gerung dua idola cerdas tajam,positive
best rocky gerung,positive
silfester cocok preman pantess sihh negeri jabat preman das,positive
suara keledai suara terik,negative
gemes moderator diem pas rocky gerung potong,negative
keren habis rocky mancing emosi lawan liat banget tolol,negative
simbol tolol silfester,negative
suka bang rocky,positive
maantaap rocky gerung,negative
ih gemes banget liat,negative
bikin malu silfester,negative
orang rocky bangsa indonesia ancur bank jago,negative
si rocky gerung gt hominem abusive zemua terminologi filsafat otak silfester pancing,negative
pakai silfer budang perintah malu,negative
rusak fer,negative
lawyer pesong,positive
libat silfer daksm giat debat,negative
rocky subtandi silfer oada basa basi,positive
silfer lari nyata,positive
rocky lawan situ masyarakat tau jilat,negative
pancing si ikan,negative
bravo bang rocky,positive
mohon silfester iq ya qiqiqiqiqi,positive
manusia kecuali malaikat lapuk,negative
hihihi orang pintar bicara bebas putar orang pintar bodoh orang pintar hehee logika ku suka rocky,positive
rocky ngomong orang indonesia suka sederhana,positive
opo ki rocky gerung ajak ngomong poin mbulet kayak orang bingung rocky pinter mesti kyak gitu ngomongnya ribet rocky,negative
siar televisi laah undang rocky pecah belah bangsa kerja apaa indonesia nol ngomong,negative
ta antek mulyono hbs angkat bicara silfester dungu,negative
akal sehat bicara tenang penting bicara dungu ilmu balas ilmu asumsi caci rocky gerung nyala,negative
pasal pasal bukti bukti bukti pasal mata hukum dukung rocky cayoo,positive
tong kosong nyaring bunyi kosong sampah masyarakat putar,negative
mantao rocky gerung marah senyum informasi dunia politik yes,negative
aiman ketawa bujang lapuk,negative
rocky tua hidup sifat positif pikir negatif orang nikmat usia tua pikir positif teladan anak indonesia,positive
bicara demokrasi bagi dimensi alternatif pakar ilmuwan kali cipta dasar demokrasi jadi wacana ilmu alloh tulis tinta laut darat filsafal rocky gerung irulah jos,positive
sok pinter roti goreng bicara kasar dosen profesor pinterr indonesia bicara gampang teori kerja nol tong kosong nyaring bunyi hukum alam,negative
pepatah bilang rocky gerung serang ilmu catur serang pion bina mahasiswa gampang kuda benteng kuncung patihnnya prajurit rakyat tumbang binasa jos,negative
kali stuju rocky gerung,negative
hidup silfester,negative
rocky gerung nangtang profesor silfester silfester cerdas tau silfester jebak gaya hipnotis,negative
katain bujang lapuk rocky sejarah bujang lapuk dunia gilir silfester dikatain bodooh ee malaah emosi kaciaan de,negative
mantap suka silfester jebak mudah hipnotis jos kalah kalah mondar mandir bagus silfester jos,positive
ilmu filsafat tanding ilmu ilmu saefi kawan benar mahluknya ilmu al qur anul karim,positive
lambang lambung lampung beda arti,positive
filsafat kunci andai andai salah ilmu,negative
minimal ajar dlu baca buku diliatin kali bodoh,negative
ijazah univ ilegal bsa msk penjara si,negative
nyaman rocky gerung sikat silfester,positive
jaya rocky gerung,positive
silfester makan duit haram gitu maafin yak,negative
sambut timsus harap sembakonya,positive
wkaakaakka ngakak baangett contoh orang beneran ajar pura ajar ygy beneran ajar rocky,negative
hajar rocky tonton bodoh,negative
silvster bodoh serang pribadi ilmu rocky gerung klass respect,negative
bikin malu keluarga gau malu silfester,negative
orang bodoh bilang bodoh singgung orang pintar bilang bodoh senyum bilang ya bodoh,negative
ganti ngabalin,negative
udah nggk tau jelaskn pasti rocky gerung itulash pikir hidup jujur ter arah jas hijau parah jabat indonesia,negative
menyetuh pakai jokowi rakyat indonesia bkln mluncur,negative
jokowi presiden,positive
presiden jokowii,positive
rocky cerdas benar,positive
bilang dungu rocky gerung bilang dungu,negative
oceh gerung kaya burung beo,negative
beda jaring,positive
lanjut rocky hajar,positive
tonton bosan nonton tengok si rocky nantang gaya hot,negative
pah emg salah ngomong jilat ngerasa keep calm,negative
mantan dosen dungu rocky gerung,negative
bang rocky emang pinter banget orang jenius aneh orang pinter pake,negative
ilmu tenang mahal luarbiasa prof rocky,negative
rocky hebat msju terud,positive
rocky bela rakyat,positive
gas broo sempat sidungu unk berangan angan solusi,negative
contoh bangkai busuk pahzamkan bangkai busuk otak rocky bohong salah rocky iru bohong,negative
orant otak ganti ya terang rocky,negative
manusia agama ajak debak lawan rocky orang otak orang bangsa indinesia disamaka budaya orang,negative
moga sehat ter sang berani rocky,positive
menutipi salah marah hha karna mersa gas sc bang rocky,negative
aiman tolong orang rocky gerung undang acr apa rocky sengaja siap adu domba atwpun provokator bahaya nkri,negative
sehat rocky jalan benar rocky cerdas bangsa rocky tahu politik indonesia pikir cerdas rocky dukung,positive
rocky gerung panggil acara apa bahaya suka provokator,negative
sehat rocky jalan benar rocky cerdas bangsa tahu politik,positive
best rocky gerung bijak politiik,positive
rocky cu pinter keblinger ngejebak gaada bukti,negative
menang jas biru rocky gerung acara menang,positive
rocky guna bangsa jaga pikir,negative
komentar bedain jilat orang pikir,negative
rocky cerdas bangsa,positive
rendah orang,negative
media nilai orang gitu undang,negative
rocky debat putar putar,negative
tiada damai sejahtera rocky gerung,positive
