cleaned_stemmed,sentiment_prediction
nothing silfester nothing zonk emosi buta hurup,neutral
jebak batman,neutral
rendah,neutral
kelas rendah,neutral
tidak mampu sisa mampu emosional,neutral
benar tenang,neutral
pas debat nonton live pas momen lgi rantam udah ku duga viral pas ku cek yotube,neutral
cerdas tiada lwan rocky istmiwir,neutral
nada ngaku,neutral
bukti ulang kali bukti tiada,neutral
aiman pas bawa acara,neutral
tenang rockyy nyala panutan,neutral
info ig abang,neutral
jokowi jokowi ko silfester deket antum,positive
belah tutup kbodohan biru,positive
silfester si ahli hukum silfester stalone main laga actionnya,positive
kasihan debat rocky,positive
tangkap tkn silver malu tkn jokowi,positive
masuk cak rocky,positive
kali undang orang timur debat kelas rocky gerung cari popularitas,positive
terima kasih silfester,positive
pribadi rupana,positive
rocky gerung remains best,positive
doa rocky sehat,positive
puncak komedi,positive
bang rocky baik,positive
layak tonton,positive
silfester harus tau ya aku dal sesuai,positive
matul ban rocky,positive
pancing,positive
rocky nyala,positive
adoh kasihan kalah debat langsung pitam rocky gerung baik,positive
rendah kwalitas aiman orang gerung adap kwalitas undang,positive
jujur menang keroyok jilat keroyokan,positive
sehat bang rocky orang cerdas,positive
dihanta rigaruik,positive
kampung jas biru tahu jilat,positive
mangkanya makan obat,positive
bawa acara,positive
keliatankan kapasitas warga,positive
rocky emang tanding dehhpokok na mah well,positive
mantap bang rocky gass jilat jilat hahaa,positive
rocky,positive
terima kasih editor video uncut suara panggung sengaja,positive
jiirr si eta euy bubuk ranginang katingali pis du na mantap rocky ajib,positive
pinternya rocky dekat,positive
best rocky,positive
rocky suka indonesia damai ngomongnya sne,positive
silfelter kali undang forum depat cocok arena ufc,positive
bang rocky ok,positive
keren aiman,positive
selesai meja debat selesai ring tinju,positive
media berat belah lihat tau berat tidak jujuran media,positive
moderator host guna,positive
rocky best argumen,positive
paham rocky top,positive
rocky cerdas,positive
mantab rocky gerung mancing gitu kelazz,positive
episode seru norocky party,positive
rocky gerung kritik ahli hukum baik,positive
rocky gerung orang keminter hrs sesuai tafsir enak perut jokowi hati rakyat indonesia kerja kerja kerja hidup jokowi,positive
anak muda,positive
rocky debat topik,positive
sdr rocky gerung hina yth pres ri jokowi indonesia sdr rocky gerung bukti prestasi rocky gerung untk maju republik tobat rocky gerung,positive
kelas bela mulyono ya guys ya paham tiktok,positive
rakyat suara tonton juta rocky party,positive
rocky best,positive
nih orang jokowi minum obat sembuh rumah,positive
akal akal gelap uang,positive
sya suka rocky gerung cerdas,positive
